Type,Era,Language,Geography,survey,objectID,mediaID,omekaID,Title,URL
Art,19. Jahrhundert,de,Dreiland/NW-Switzerland/Upper Rhine,,abb95085,m95085,12431,Blick vom Isteiner Klotz rheinaufwärts gegen Basel,https://forschung.stadtgeschichtebasel.ch/items/abb95085.html#m95085
Diagram (Statistics),19. Jahrhundert,de,Switzerland,,abb92237,m92237_1,12726,"Bevölkerungsentwicklung in den Kantonen Basel-Stadt und Glarus, 1850 und 1910",https://forschung.stadtgeschichtebasel.ch/items/abb92237.html#m92237_1
Diagram (Statistics),19. Jahrhundert,de,Basel,,abb90886,m90886_1,12702,"Anteil der Erwerbstätigen in wichtigen Branchen, 1870 und 1910",https://forschung.stadtgeschichtebasel.ch/items/abb90886.html#m90886_1
Drawing (Historical Drawing),19. Jahrhundert,de,Basel,,abb94575,m94575,12173,"Handzeichnung eines Basler Gross­rats im ‹Ratsherrenkasten› von Emanuel Burckhardt ­Sarasin, 1832",https://forschung.stadtgeschichtebasel.ch/items/abb94575.html#m94575
Photograph (Archaeological Site),20. Jahrhundert,de,Basel,,abb27970,m27970,11498,Fundstelle des murus Gallicus auf dem Münsterhügel,https://forschung.stadtgeschichtebasel.ch/items/abb27970.html#m27970
Diagram (Statistics),20. Jahrhundert,de,Basel,,abb22355,m22355_1,12765,"Grossratsmandate nach Parteien, 1911–1964",https://forschung.stadtgeschichtebasel.ch/items/abb22355.html#m22355_1
Diagram (Statistics),20. Jahrhundert,de,Basel,,abb85061,m85061_1,12808,"Leerstandsquote, 1960–2020",https://forschung.stadtgeschichtebasel.ch/items/abb85061.html#m85061_1
Drawing (Archaeological Reconstruction),Frühgeschichte,de,Dreiland/NW-Switzerland/Upper Rhine,1,abb28635,m28635,11453,Landschaft bei Riehen-Ausserberg mit deren Bewohner:innen vor 48 000 Jahren,https://forschung.stadtgeschichtebasel.ch/items/abb28635.html#m28635
Diagram (Statistics),20. Jahrhundert,de,Basel,,abb11589,m11589_1,12781,"Anzahl Verkehrsträger pro 100 Einwohner und Einwohnerinnen im Kanton Basel-Stadt, 1916–1970",https://forschung.stadtgeschichtebasel.ch/items/abb11589.html#m11589_1
Drawing (Archaeological Reconstruction),Frühgeschichte,de,Basel,1,abb29084,m29084,11720,Schematische Rekonstruktionszeichnungen frühmittelalterlicher Grabtypen,https://forschung.stadtgeschichtebasel.ch/items/abb29084.html#m29084
Diagram (Statistics),20. Jahrhundert,de,Basel,,abb26375,m26375_1,12773,"Hauptberuflich Beschäftigte im Dienstleistungssektor im Kanton Basel-Stadt, 1929–1965",https://forschung.stadtgeschichtebasel.ch/items/abb26375.html#m26375_1
Diagram (Statistics),20. Jahrhundert,de,Switzerland,,abb82338,m82338_1,12804,"Arbeitslosenquote der Kantone Basel-Stadt, Genf und Zürich sowie der gesamten Schweiz, 1973–2002",https://forschung.stadtgeschichtebasel.ch/items/abb82338.html#m82338_1
